DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA
6/27/14 23:59,538001641,35.88782,14.89198,21,0.1,280,9224271,GENMAR ORION,V7DH8,80,231,43,17,31,13,MALTA,5/27/15 18:00
6/27/14 23:59,308287000,32.36288,15.22341,330.5,0,0,9138616,AMAZON,C6QI2,70,142,30,18,7,9.8,MISURATA,6/9/15 19:30
6/27/14 23:59,477958500,35.82164,14.53392,59,0,511,9175781,ANTWERP,VRDG3,70,137,18,11,14,6.7,MARSAXLOKK,6/26/15 19:00
6/27/14 23:59,636012392,35.99625,14.88906,360,102.3,344,9167136,CHEMTRANS RHINE,A8FF3,89,136,36,9,19,11.7,MALTA OPL,6/23/15 3:00
6/27/14 23:59,576388000,33.48463,11.118,198.7,0,322,9412270,KEHOE TIDE,YJVK2,95,15,45,8,6,5,ZARZIS,6/26/15 11:00
6/27/14 23:59,319018000,35.89085,14.51793,199.7,0,220,1009546,MARTHA ANN,ZCTZ2,37,50,20,6,6,3.7,VALLETTA,6/20/15 16:30
6/27/14 23:59,642137027,32.11458,20.04194,5.1,0.1,160,9141259,MASHHOUDA,5ATM,80,94,21,9,9,5.7,BENGHAZI,6/3/15 3:00
6/27/14 23:59,319024600,35.9177,19.9637,260.9,12,263,9450674,FOUR RIGOLETTO,ZGBI4,70,152,29,8,22,9.9,SFAX TN,6/29/15 16:00
6/27/14 23:59,247147480,36.94419,13.06564,167.7,0.7,511,0,PRINCIPESSA PRIMA,INCP,30,0,0,0,0,4,RIMORCHIARE CABBIA,5/10/15 2:40
6/27/14 23:59,636014514,36.23035,15.19707,95,10.8,97,9296248,OCEAN LION,A8UK7,70,197,28,21,11,14,EREGLI,7/1/15 12:00
6/27/14 23:59,636014648,35.19217,19.3225,288,20.7,289,9447897,TEMPANOS,A8VP9,91,229,71,29,17,12.8,PORT TANGIER,6/30/15 5:30
6/27/14 23:59,636015477,35.83714,14.59452,262.2,0.1,195,8800315,USOLIE,D5AZ6,70,197,28,16,16,12.1,VALLETTA,6/27/15 21:00
6/27/14 23:59,636091664,36.12749,19.21735,90,15.6,90,9508299,VEGA AQUILA,A8RJ7,72,124,15,14,9,7.8,PIRAEUS,6/28/15 22:00
6/27/14 23:59,248000540,35.91855,14.51902,340.4,6.9,511,0,EOLO,9H6211,30,7,12,2,3,19.3,N/A,
6/27/14 23:59,247078600,35.8475,12.87333,148,0.1,39,9250074,LIPARI M,IBJZ,82,50,30,8,7,5.4,LINOSA,6/26/15 4:00
6/27/14 23:59,256489000,35.904,14.75565,330.8,0.1,320,8013091,BALLUTA BAY,9HVQ8,80,68,11,5,8,4.1,VALLETTA,5/28/15 22:00
6/27/14 23:59,215871000,35.98085,14.90388,66.1,0.1,321,9261401,BALTIC WIND,9HDM8,80,154,29,14,14,7.3,MALTA FOR ORDER,6/20/15 21:00
6/27/14 23:59,636014904,35.77922,19.83051,78.7,13.1,75,9522910,SHAH,A8XI8,79,154,32,21,7,6.1,KAVKAZ,7/1/15 11:00
6/27/14 23:59,352630000,36.28534,18.39276,91.5,14,91,9446611,ORANGE TIGER,3FXI7,70,254,38,30,15,17.8,EREGLI TURKEY,6/30/15 17:00
6/27/14 23:59,636015001,35.85386,14.65408,190.8,0.1,320,9127007,JAGUAR,A8XZ3,70,136,21,12,11,6.4,MARSAXLOKK,6/27/15 19:00
6/27/14 23:59,636090831,35.83234,14.84691,151,0.3,511,9214537,JOP,A8GI6,70,144,25,23,7,5.7,TUZLA,8/30/15 13:00
6/27/14 23:59,538080087,36.68843,20.21763,285,14.7,283,9563524,EXCELLENCE V,V7XA7,37,18,42,6,6,3.4,NICE,6/30/15 17:00
6/27/14 23:59,538004399,36.13512,20.02065,297,15.3,301,9123520,SONOMA,V7U02,72,161,18,12,13,7.7,SALERNO,6/29/15 7:00
6/27/14 23:59,248939000,36.52356,15.07084,266,9.3,266,9451094,CELEBRITYSILHOUETTE,9HA2583,60,42,277,24,24,8.6,VALLETTA,6/28/15 4:45
6/27/14 23:59,305050000,35.92933,14.85433,301,5.2,297,9126259,BF VALENCIA,V2CN4,70,92,8,17,1,4.8,MALTA,6/28/15 8:00
6/27/14 23:59,370045000,36.50249,15.08757,92,11.2,93,9225328,ASTON I,3ETM2,81,159,24,10,18,8,TUAPSE,7/3/15 4:00
6/27/14 23:59,538090199,35.81836,14.53869,132,0,132,9318254,SENA KALKAVAN,V7JH2,71,138,11,11,11,7.7,CATANIA\ITALY,6/29/15 19:00
6/27/14 23:59,371005000,35.9114,14.85212,134,0.1,285,9310707,CHALLENGE PASSAGE,3EAT3,89,147,33,21,11,11.5,MALTA,6/27/15 21:00
6/27/14 23:59,247154200,37.48913,15.09979,0,0,511,0,COMAR PRIMO,IQVX,0,30,3,10,6,18,RIPOSTO,7/14/15 16:00
6/27/14 23:59,271000656,36.5384,14.90842,109,11.7,107,8811390,BAKU,TCCD5,70,130,35,22,11,6.7,PIRAEUS,6/29/15 20:00
